name, URL, cost (usd)
freeform geodesic dome, https://www.cgtrader.com/free-3d-print-models/art/other/freeform-geodesic-roof, 0
Serpentine Pavilion, https://www.turbosquid.com/3d-models/serpentine-pavilion-1458167, 3
parametric pavillion, https://www.turbosquid.com/3d-models/parametric-pavilion-1681221, 3
parametric arc,https://www.turbosquid.com/3d-models/parametric-arc-part-one-1477837, 9
parametric dtimber grid shell canopy collection, https://www.turbosquid.com/Search/Index.cfm?keyword=parametric&media_typeid=2, 78
Organic Pavilion Parametric Structure 02, https://www.turbosquid.com/3d-models/organic-pavilion-parametric-structure-02-2422648, 19
Parametric Umbrella Wooden Structure, https://www.turbosquid.com/3d-models/parametric-umbrella-wooden-structure-2404898, 19
Interlocking Parametric Wooden Dome Pavilion 1, https://www.turbosquid.com/3d-models/interlocking-parametric-wooden-dome-pavilion-1-2207435, 29

Turbosquid SITE, https://www.turbosquid.com/Search/3D-Models/parametric?size=300&sort=lower_prices, see this for everything!
